"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33427-12511","PG","Ish","Ish Smith","Smith","17.72051219451122","39","4900","DET@BKN","DET","BKN","","","","",""
"33427-23407","PF","PJ","PJ Tucker","Tucker","22.342423872514203","66","4800","CHA@HOU","HOU","CHA","","","","",""
"33427-12366","SF","Gordon","Gordon Hayward","Hayward","23.901639344262296","61","4700","BOS@LAC","BOS","LAC","","","","",""
"33427-9648","SF","Jeff","Jeff Green","Green","22.307811737060547","64","4700","SAC@WAS","WAS","SAC","","","","",""
"33427-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","22.980328669313526","61","4600","SAC@WAS","SAC","WAS","","","","",""
"33427-24247","PG","Fred","Fred VanVleet","VanVleet","22.756862266390932","51","4600","TOR@CLE","TOR","CLE","O","Thumb","","",""
"33427-67026","SG","Jaylen","Jaylen Brown","Brown","22.79032258064516","62","4600","BOS@LAC","BOS","LAC","","","","",""
"33427-9758","SG","Danny","Danny Green","Green","20.861538461538462","65","4500","TOR@CLE","TOR","CLE","","","","",""
"33427-16448","PF","Frank","Frank Kaminsky","Kaminsky","11.977418961063508","31","4500","CHA@HOU","CHA","HOU","","","","",""
"33427-9870","SG","Kyle","Kyle Korver","Korver","13.9559326171875","59","4500","OKC@UTA","UTA","OKC","","","","",""
"33427-80819","PF","Harry","Harry Giles III","Giles III","14.728846623347355","52","4500","SAC@WAS","SAC","WAS","","","","",""
"33427-16363","SF","Joe","Joe Harris","Harris","22.177777002728174","63","4500","DET@BKN","BKN","DET","","","","",""
"33427-9787","SF","DeMarre","DeMarre Carroll","Carroll","20.30363547585227","55","4300","DET@BKN","BKN","DET","","","","",""
"33427-14501","C","Tristan","Tristan Thompson","Thompson","30.351429966517856","35","4300","TOR@CLE","CLE","TOR","O","Foot","","",""
"33427-84724","PG","Landry","Landry Shamet","Shamet","14.013846529447115","65","4300","BOS@LAC","LAC","BOS","","","","",""
"33427-67312","C","Thomas","Thomas Bryant","Bryant","21.428571428571427","56","4000","SAC@WAS","WAS","SAC","","","","",""
"33427-9956","SG","Wayne","Wayne Ellington","Ellington","15.502777099609375","36","3900","DET@BKN","DET","BKN","","","","",""
"33427-15501","SG","Allen","Allen Crabbe","Crabbe","16.570732302782012","41","3800","DET@BKN","BKN","DET","","","","",""
"33427-14511","PF","Markieff","Markieff Morris","Morris","21.41860465116279","43","3800","OKC@UTA","OKC","UTA","","","","",""
"33427-14533","PG","Shelvin","Shelvin Mack","Mack","16.659999778053976","55","3800","CHA@HOU","CHA","HOU","","","","",""
"33427-84678","SF","Miles","Miles Bridges","Bridges","15.171875","64","3800","CHA@HOU","CHA","HOU","","","","",""
"33427-15405","PF","JaMychal","JaMychal Green","Green","20.98076923076923","52","3700","BOS@LAC","LAC","BOS","","","","",""
"33427-12365","PF","Ed","Ed Davis","Davis","18.95074553987873","67","3700","DET@BKN","BKN","DET","","","","",""
"33427-9849","SF","Gerald","Gerald Green","Green","15.570968135710686","62","3700","CHA@HOU","HOU","CHA","","","","",""
"33427-9636","SF","Wilson","Wilson Chandler","Chandler","17.544443766276043","36","3700","BOS@LAC","LAC","BOS","","","","",""
"33427-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","19.977359411851417","53","3700","DET@BKN","BKN","DET","","","","",""
"33427-9702","PG","Tony","Tony Parker","Parker","16.922221996166087","54","3700","CHA@HOU","CHA","HOU","GTD","Rest","","",""
"33427-15592","SG","Austin","Austin Rivers","Rivers","16.838709677419356","62","3700","CHA@HOU","HOU","CHA","","","","",""
"33427-42733","SG","David","David Nwaba","Nwaba","14.505714634486607","35","3700","TOR@CLE","CLE","TOR","","","","",""
"33427-19726","SF","Abdel","Abdel Nader","Nader","7.980851193691822","47","3600","OKC@UTA","OKC","UTA","","","","",""
"33427-55055","PG","Dante","Dante Exum","Exum","13.782051282051283","39","3600","OKC@UTA","UTA","OKC","GTD","Ankle","","",""
"33427-9796","PF","Luc","Luc Mbah a Moute","Mbah a Moute","8.850000381469727","4","3600","BOS@LAC","LAC","BOS","O","Knee","","",""
"33427-12443","PG","Jeremy","Jeremy Lin","Lin","18.961665852864584","60","3600","TOR@CLE","TOR","CLE","","","","",""
"33427-70824","C","Ante","Ante Zizic","Zizic","15.428261134935463","46","3600","TOR@CLE","CLE","TOR","","","","",""
"33427-15560","PG","Shabazz","Shabazz Napier","Napier","17.52641555498231","53","3600","DET@BKN","BKN","DET","GTD","Personal","","",""
"33427-68090","SF","OG","OG Anunoby","Anunoby","13.871930038719846","57","3600","TOR@CLE","TOR","CLE","","","","",""
"33427-23810","SF","Jaron","Jaron Blossomgame","Blossomgame","10.559259485315394","27","3500","TOR@CLE","CLE","TOR","","","","",""
"33427-9731","C","Kosta","Kosta Koufos","Koufos","11.743749618530273","32","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-66061","SF","Dwayne","Dwayne Bacon","Bacon","7.599999886971933","27","3500","CHA@HOU","CHA","HOU","","","","",""
"33427-40208","PG","Raul","Raul Neto","Neto","10.58","25","3500","OKC@UTA","UTA","OKC","O","Hamstring","","",""
"33427-85521","SF","Theo","Theo Pinson","Pinson","10.25","12","3500","DET@BKN","BKN","DET","","","","",""
"33427-23825","C","Nerlens","Nerlens Noel","Noel","17.669354838709676","62","3500","OKC@UTA","OKC","UTA","","","","",""
"33427-16658","PG","Kalin","Kalin Lucas","Lucas","7.099999904632568","1","3500","DET@BKN","DET","BKN","","","","",""
"33427-85523","PG","Jordan","Jordan Loyd","Loyd","3.174999952316284","8","3500","TOR@CLE","TOR","CLE","","","","",""
"33427-9506","SG","JR","JR Smith","Smith","14.37272782759233","11","3500","TOR@CLE","CLE","TOR","O","Not injury related","","",""
"33427-58658","SG","Patrick","Patrick McCaw","McCaw","8.147619338262649","21","3500","TOR@CLE","TOR","CLE","","","","",""
"33427-9512","C","","Nene","Nene","10.591428920200892","35","3500","CHA@HOU","HOU","CHA","","","","",""
"33427-37931","C","Aron","Aron Baynes","Baynes","13.578947368421053","38","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-12339","C","Ekpe","Ekpe Udoh","Udoh","5.428571428571429","35","3500","OKC@UTA","UTA","OKC","GTD","Back","","",""
"33427-12340","PF","Patrick","Patrick Patterson","Patterson","8.86724116884429","58","3500","OKC@UTA","OKC","UTA","","","","",""
"33427-12348","SF","Wesley","Wesley Johnson","Johnson","8.517143031529018","35","3500","SAC@WAS","WAS","SAC","","","","",""
"33427-11074","SG","Garrett","Garrett Temple","Temple","17.16500040690104","60","3500","BOS@LAC","LAC","BOS","","","","",""
"33427-16197","SG","Chasson","Chasson Randle","Randle","10.536364006273674","33","3500","SAC@WAS","WAS","SAC","","","","",""
"33427-20806","SG","Treveon","Treveon Graham","Graham","11.569230299729567","26","3500","DET@BKN","BKN","DET","O","Back","","",""
"33427-17230","SG","Langston","Langston Galloway","Galloway","13.593651181175595","63","3500","DET@BKN","DET","BKN","","","","",""
"33427-15952","PF","John","John Henson","Henson","16.22857121058873","14","3500","TOR@CLE","CLE","TOR","O","Wrist","","",""
"33427-23121","PF","Tyler","Tyler Cavanaugh","Cavanaugh","1.225000023841858","8","3500","OKC@UTA","UTA","OKC","","","","",""
"33427-58457","SF","Devin","Devin Robinson","Robinson","10.600000381469727","4","3500","SAC@WAS","WAS","SAC","GTD","Hip","","",""
"33427-20064","PG","Matthew","Matthew Dellavedova","Dellavedova","13.039583841959635","48","3500","TOR@CLE","CLE","TOR","O","Concussion","","",""
"33427-84836","C","Angel","Angel Delgado","Delgado","10.800000190734863","1","3500","BOS@LAC","LAC","BOS","","","","",""
"33427-16230","SG","Jordan","Jordan McRae","McRae","7.721052470960115","19","3500","SAC@WAS","WAS","SAC","GTD","Achilles","","",""
"33427-68203","PF","Chris","Chris Boucher","Boucher","8.266666957310267","21","3500","TOR@CLE","TOR","CLE","","","","",""
"33427-23155","SG","Naz","Naz Mitrou-Long","Mitrou-Long","1.0399999618530273","10","3500","OKC@UTA","UTA","OKC","","","","",""
"33427-85106","SG","Deonte","Deonte Burton","Burton","5.995651908542799","23","3500","OKC@UTA","OKC","UTA","","","","",""
"33427-23156","PF","Georges","Georges Niang","Niang","5.681395419808322","43","3500","OKC@UTA","UTA","OKC","","","","",""
"33427-41077","SG","Sindarius","Sindarius Thornwell","Thornwell","2.957142732581314","49","3500","BOS@LAC","LAC","BOS","","","","",""
"33427-81529","PF","Daniel","Daniel Theis","Theis","14.650943396226415","53","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-24186","SG","Tyrone","Tyrone Wallace","Wallace","7.513461773212139","52","3500","BOS@LAC","LAC","BOS","","","","",""
"33427-67707","PF","Marquese","Marquese Chriss","Chriss","9.978571210588727","28","3500","TOR@CLE","CLE","TOR","","","","",""
"33427-18811","PF","Malcolm","Malcolm Miller","Miller","4.899999936421712","3","3500","TOR@CLE","TOR","CLE","","","","",""
