2015-11-04 00:00:00,bos,35,83,10,27,18,22,15,34,20,7,5,22,98,ind,35,91,8,23,22,29,21,32,18,10,1,20,100
2015-11-04 00:00:00,phi,34,81,6,28,13,15,12,39,23,4,9,23,87,mil,35,86,8,23,13,17,8,28,24,6,4,19,91
2015-11-04 00:00:00,tor,33,79,5,14,32,39,12,33,12,14,3,16,103,okc,39,82,8,23,12,14,11,30,26,8,10,29,98
2015-11-04 00:00:00,sac,40,84,11,24,6,12,7,26,25,9,4,22,97,pho,45,83,14,23,14,22,9,32,27,14,4,11,118
2015-11-04 00:00:00,por,41,77,11,25,15,32,13,35,11,5,7,25,108,uta,33,88,5,24,21,33,16,24,9,12,8,22,92
2015-11-04 00:00:00,sas,37,81,7,22,18,20,9,40,21,5,3,21,99,was,42,87,8,23,10,14,4,29,27,11,3,19,102
2015-11-05 00:00:00,okc,38,84,5,13,17,20,9,35,21,2,8,18,98,chi,40,90,7,18,17,21,11,36,20,3,7,17,104
2015-11-05 00:00:00,cho,44,89,6,27,14,17,8,40,19,8,6,25,108,dal,32,82,6,29,24,27,8,36,17,8,2,13,94
2015-11-05 00:00:00,uta,37,85,11,24,11,17,12,31,23,6,6,26,96,den,28,72,5,20,23,34,11,34,16,4,6,14,84
2015-11-05 00:00:00,mia,37,76,4,14,18,25,7,35,14,6,6,19,96,min,30,85,4,12,20,22,10,34,16,7,6,27,84
2015-11-05 00:00:00,mem,37,77,7,20,15,21,7,29,20,4,5,14,96,por,44,87,15,30,12,20,14,33,29,3,3,19,115
2015-11-06 00:00:00,was,36,88,8,25,18,23,10,35,23,10,8,27,98,bos,44,97,12,30,18,23,15,38,24,18,5,21,118
2015-11-06 00:00:00,lal,33,78,7,23,31,40,5,35,14,9,6,22,104,brk,40,93,3,19,15,20,14,32,21,6,6,29,98
2015-11-06 00:00:00,phi,41,79,10,23,10,15,7,31,23,9,4,18,102,cle,45,88,10,26,8,12,11,34,29,9,0,20,108
2015-11-06 00:00:00,den,39,92,8,24,18,22,10,34,23,13,5,20,104,gsw,46,93,17,37,10,18,13,40,40,10,6,22,119
2015-11-06 00:00:00,mia,36,81,6,20,9,13,7,33,21,5,6,19,87,ind,36,80,5,15,13,24,9,34,21,4,5,15,90
2015-11-06 00:00:00,atl,41,77,9,21,30,35,6,35,30,10,6,21,121,nop,42,84,10,30,21,24,6,26,30,9,7,24,115
2015-11-06 00:00:00,mil,35,81,3,14,26,29,13,28,21,6,5,24,99,nyk,33,81,4,24,22,28,14,29,20,3,5,22,92
2015-11-06 00:00:00,tor,30,86,5,23,22,29,15,29,13,5,5,18,87,orl,33,77,9,25,17,22,6,34,22,4,4,25,92
2015-11-06 00:00:00,det,37,74,8,22,18,36,6,41,15,8,3,21,100,pho,37,92,10,30,8,13,11,35,14,8,3,29,92
2015-11-06 00:00:00,hou,40,82,15,36,21,27,14,35,23,8,4,26,116,sac,40,93,9,28,21,29,14,29,26,14,3,19,110
2015-11-07 00:00:00,was,38,78,8,24,15,17,8,33,27,11,3,18,99,atl,43,92,13,33,15,15,10,29,37,12,4,15,114
2015-11-07 00:00:00,min,39,96,7,16,17,27,14,44,26,8,7,23,102,chi,33,93,11,32,16,23,10,40,20,7,6,26,93
2015-11-07 00:00:00,nop,39,86,9,28,11,13,7,35,21,7,6,24,98,dal,40,84,9,24,18,22,6,36,20,5,2,17,107
2015-11-07 00:00:00,hou,38,86,7,30,26,29,11,36,16,7,3,27,109,lac,42,88,4,22,17,25,11,30,29,8,5,23,105
2015-11-07 00:00:00,brk,34,82,3,9,15,19,17,35,18,11,3,18,86,mil,37,82,8,20,12,16,10,31,27,9,6,16,94
2015-11-07 00:00:00,orl,39,83,6,13,21,24,10,31,24,10,7,23,105,phi,36,80,11,33,14,26,10,28,24,6,10,20,97
2015-11-07 00:00:00,gsw,38,92,8,39,19,22,15,31,27,13,2,15,103,sac,38,87,6,19,12,16,13,32,26,9,3,19,94
2015-11-07 00:00:00,cho,34,73,6,19,20,31,6,27,15,7,0,18,94,sas,45,81,9,21,15,23,6,36,35,11,3,26,114
2015-11-07 00:00:00,mem,30,91,6,19,13,14,13,31,16,8,1,21,79,uta,31,74,12,27,15,18,9,40,18,7,10,20,89
2015-11-08 00:00:00,ind,39,90,6,18,13,19,12,35,22,5,4,20,97,cle,38,83,8,24,17,25,11,37,25,5,4,20,101
2015-11-08 00:00:00,tor,28,71,3,19,17,22,7,31,17,8,5,21,76,mia,35,83,8,20,18,25,13,35,18,8,8,20,96
2015-11-08 00:00:00,lal,36,94,9,27,14,23,12,34,19,7,3,20,95,nyk,33,84,9,27,24,29,10,42,22,5,5,15,99
2015-11-08 00:00:00,pho,38,84,7,16,20,26,7,26,18,7,1,25,103,okc,49,94,4,20,22,30,17,35,26,14,8,25,124
2015-11-08 00:00:00,det,47,96,11,30,15,22,18,28,16,13,5,16,120,por,41,76,9,25,12,18,7,33,24,5,2,22,103
2015-11-09 00:00:00,min,46,80,7,15,18,22,8,32,27,10,5,18,117,atl,44,86,13,31,6,7,4,23,30,13,6,19,107
